"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","E2E - Checkout Scenarios -BOPIS","2","0","","0"
"1","","1","Product Landing Page Scenarios","6","0","","0"
"0","","0","Mega menu Scenarios","4","0","","0"
"2","","0","E2E - Checkout Mixcart Scenarios","2","0","","0"
"0","","0","E2E - Classes, Events & Project Scenarios","1","0","","0"
"0","","0","Home Page Scenarios","7","0","","0"
"0","","0","E2E - Checkout Scenarios -SDD","1","0","","0"
"0","","0","Cart page Scenarios","7","0","","0"
"0","","0","E2E - EventHub portal Scenarios","1","0","","0"
"0","","0","Global Scenarios - Headers & Footer","4","0","","0"
"0","","0","E2E - Signup & My Account Scenarios","1","0","","0"
"0","","0","Sign In and Sign Up pages Scenarios","4","0","","0"
"0","","0","Birthday Party Scenarios","2","2","","0"
"0","","0","E2E - Checkout Scenarios -STM","2","0","","0"
