"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126948","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Tue Feb 18 19:40:44 IST 2025","broken","Tue Feb 18 19:42:50 IST 2025","","Cart page Scenarios","",""
"","116466","Guest user is able to signin from cart page via button","","Tue Feb 18 19:36:53 IST 2025","broken","Tue Feb 18 19:38:49 IST 2025","","Cart page Scenarios","",""
"","107640","[Sign-up] Email-Sign up michaels offers email from footer","","Tue Feb 18 19:29:24 IST 2025","passed","Tue Feb 18 19:31:12 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","42461","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Tue Feb 18 19:49:40 IST 2025","passed","Tue Feb 18 19:50:23 IST 2025","","Global Scenarios - Headers & Footer","",""
"","31912","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Tue Feb 18 19:49:08 IST 2025","passed","Tue Feb 18 19:49:40 IST 2025","","Global Scenarios - Headers & Footer","",""
"","136736","[Guest User] Verify successful PayPal account login from the Payment and Order Review page","","Tue Feb 18 19:46:48 IST 2025","passed","Tue Feb 18 19:49:04 IST 2025","","Cart page Scenarios","",""
"","55728","Validate marque banner gets frozen when it is paused","","Tue Feb 18 19:41:21 IST 2025","passed","Tue Feb 18 19:42:17 IST 2025","","Home Page Scenarios","",""
"","55268","Verify sign in with invalid credentials displays error","","Tue Feb 18 19:46:17 IST 2025","passed","Tue Feb 18 19:47:12 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","28013","Apply multiple filters on the PLP page","","Tue Feb 18 19:52:12 IST 2025","passed","Tue Feb 18 19:52:40 IST 2025","","Product Landing Page Scenarios","",""
"","152361","[Guest User][.COM]Place order using SHIP TO ME with Gift Card","","Tue Feb 18 19:21:41 IST 2025","passed","Tue Feb 18 19:24:13 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","18043","Verify header labels are displayed in ellipses menu when browser window is minimized","","Tue Feb 18 19:40:05 IST 2025","passed","Tue Feb 18 19:40:23 IST 2025","","Home Page Scenarios","",""
"","241889","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD","","Tue Feb 18 19:26:54 IST 2025","broken","Tue Feb 18 19:30:56 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","125912","guest user books a party with Add-On and verifies the order in admin portal","","Tue Feb 18 19:28:21 IST 2025","passed","Tue Feb 18 19:30:27 IST 2025","","Birthday Party Scenarios","",""
"","27746","Verify pagination functionality in PLP page","","Tue Feb 18 19:50:54 IST 2025","passed","Tue Feb 18 19:51:22 IST 2025","","Product Landing Page Scenarios","",""
"","126207","[Guest User] Verify Zip code change for Same Day Delivery","","Tue Feb 18 19:49:04 IST 2025","passed","Tue Feb 18 19:51:11 IST 2025","","Cart page Scenarios","",""
"","20343","Verify marque banner and links on homepage","","Tue Feb 18 19:38:57 IST 2025","passed","Tue Feb 18 19:39:18 IST 2025","","Home Page Scenarios","",""
"","57994","Verify sign-in options on homepage","","Tue Feb 18 19:37:59 IST 2025","passed","Tue Feb 18 19:38:57 IST 2025","","Home Page Scenarios","",""
"","3576","signedIn user books a party without Add-On and verifies the order in admin portal","","Tue Feb 18 19:30:30 IST 2025","skipped","Tue Feb 18 19:30:33 IST 2025","","Birthday Party Scenarios","",""
"","183023","[Guest User]PlaceOrder using Same Day Delivery","","Tue Feb 18 19:17:55 IST 2025","passed","Tue Feb 18 19:20:58 IST 2025","","E2E - Checkout Scenarios -SDD","",""
"","183198","Validate addition and removal of items quantity in the Cart Page","","Tue Feb 18 19:30:56 IST 2025","passed","Tue Feb 18 19:33:59 IST 2025","","Cart page Scenarios","",""
"","34574","Verify invalid search keywords display proper error message","","Tue Feb 18 19:40:23 IST 2025","passed","Tue Feb 18 19:40:58 IST 2025","","Home Page Scenarios","",""
"","207443","[Guest user][.com]Place order using shipping methods - BOPIS, STM","","Tue Feb 18 19:30:56 IST 2025","passed","Tue Feb 18 19:34:23 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","23648","Verify all shipping methods are displayed in PLP page","","Tue Feb 18 19:51:22 IST 2025","passed","Tue Feb 18 19:51:46 IST 2025","","Product Landing Page Scenarios","",""
"","204062","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Tue Feb 18 19:18:04 IST 2025","passed","Tue Feb 18 19:21:28 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","170834","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Tue Feb 18 19:21:28 IST 2025","passed","Tue Feb 18 19:24:18 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","30113","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page","","Tue Feb 18 19:48:38 IST 2025","passed","Tue Feb 18 19:49:08 IST 2025","","Global Scenarios - Headers & Footer","",""
"","60883","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Tue Feb 18 19:34:09 IST 2025","passed","Tue Feb 18 19:35:10 IST 2025","","Mega menu Scenarios","",""
"","189184","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Tue Feb 18 19:41:23 IST 2025","broken","Tue Feb 18 19:44:32 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","106188","guest user books a party without Add-On and verifies the order in admin portal","","Tue Feb 18 19:24:50 IST 2025","passed","Tue Feb 18 19:26:36 IST 2025","","Birthday Party Scenarios","",""
"","49905","Verify AddToCart functionality in PLP page","","Tue Feb 18 19:48:28 IST 2025","failed","Tue Feb 18 19:49:18 IST 2025","","Product Landing Page Scenarios","",""
"","19118","Verify navigation to the classes & events from the Michaels Admin Portal","","Tue Feb 18 19:24:38 IST 2025","passed","Tue Feb 18 19:24:57 IST 2025","","E2E - EventHub portal Scenarios","",""
"","2561","signedIn user books a party with Add-On and verifies the order in admin portal","","Tue Feb 18 19:30:27 IST 2025","skipped","Tue Feb 18 19:30:30 IST 2025","","Birthday Party Scenarios","",""
"","22758","Validate marque banner progression through automatic rotation","","Tue Feb 18 19:40:58 IST 2025","passed","Tue Feb 18 19:41:21 IST 2025","","Home Page Scenarios","",""
"","96590","Verify ViewOptions functionality in PLP page","","Tue Feb 18 19:49:18 IST 2025","passed","Tue Feb 18 19:50:54 IST 2025","","Product Landing Page Scenarios","",""
"","26660","verify user is able to update zipcode for SDD in PLP","","Tue Feb 18 19:51:46 IST 2025","passed","Tue Feb 18 19:52:12 IST 2025","","Product Landing Page Scenarios","",""
"","47045","Verify social login options on sign up page","","Tue Feb 18 19:44:48 IST 2025","passed","Tue Feb 18 19:45:35 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","225631","[Guest User]PlaceOrder using SHIP TO ME","","Tue Feb 18 19:17:55 IST 2025","passed","Tue Feb 18 19:21:41 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","26197","Selecting subcategories for a product in the PLP","","Tue Feb 18 19:33:43 IST 2025","passed","Tue Feb 18 19:34:09 IST 2025","","Mega menu Scenarios","",""
"","155419","Validate browsing through the megamenu to land on CLP or PLP","","Tue Feb 18 19:35:10 IST 2025","passed","Tue Feb 18 19:37:45 IST 2025","","Mega menu Scenarios","",""
"","131175","Navigating Back to Parent Category via Breadcrumb","","Tue Feb 18 19:31:32 IST 2025","passed","Tue Feb 18 19:33:43 IST 2025","","Mega menu Scenarios","",""
"","47675","Verify every link in all carousels on homepage","","Tue Feb 18 19:39:18 IST 2025","passed","Tue Feb 18 19:40:05 IST 2025","","Home Page Scenarios","",""
"","41509","Verify sign-up page fields and functionality","","Tue Feb 18 19:45:36 IST 2025","passed","Tue Feb 18 19:46:17 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","50682","Guest user is able to signin from cart page via signInlink","","Tue Feb 18 19:33:59 IST 2025","passed","Tue Feb 18 19:34:49 IST 2025","","Cart page Scenarios","",""
"","126017","[Guest User] Verify successful PayPal account login from the Cart page","","Tue Feb 18 19:44:42 IST 2025","broken","Tue Feb 18 19:46:48 IST 2025","","Cart page Scenarios","",""
"","109849","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card","","Tue Feb 18 19:27:14 IST 2025","passed","Tue Feb 18 19:29:03 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","224574","[Guest user][.com]Place order using shipping methods - STM, SDD","","Tue Feb 18 19:34:23 IST 2025","passed","Tue Feb 18 19:38:08 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","28866","Verify invalid email message for the forgot password","","Tue Feb 18 19:47:12 IST 2025","passed","Tue Feb 18 19:47:41 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","40485","Verify the user is able to click on the ""Back to Top"" up arrow button from home page","","Tue Feb 18 19:47:58 IST 2025","passed","Tue Feb 18 19:48:38 IST 2025","","Global Scenarios - Headers & Footer","",""
"","111196","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Tue Feb 18 19:45:39 IST 2025","passed","Tue Feb 18 19:47:30 IST 2025","","Product Landing Page Scenarios","",""
"","87605","Verifying the sort option using various available methods","","Tue Feb 18 19:42:46 IST 2025","passed","Tue Feb 18 19:44:14 IST 2025","","Product Landing Page Scenarios","",""
